Base de datos,PF,RF
balance scale,0.39710,0.40000
Car,0.30963,0.30963
cmc,0.86160,0.84600
credit-g,0.84242,0.83818
diabetes,0.73386,0.71969
ecoli,0.55676,0.50631
flags religión,0.80000,0.82154
Glass,0.83380,0.74085
haberman,0.66733,0.65545
heart-statlog,0.69111,0.68667
Ionosphere,0.42759,0.41207
Iris,0.11200,0.09600
kr-vs-kp,0.43071,0.28550
letter,0.45621,0.45270
Liver,0.93509,0.96140
Lymph,0.71020,0.73061
Molecular,0.99429,0.98857
Nursery,0.39687,0.13790
optdigits,0.58307,0.58286
page blocks,0.09530,0.08744
Pendigits,0.20838,0.21218
Segment,0.21075,0.19161
solar flare 1,0.68598,0.55701
solar flare 2,0.68239,0.37841
Sonar,0.90725,0.91304
Spambase,0.33074,0.31968
splice,0.77721,0.72707
Tae,0.83200,0.82800
Vehicle,0.75286,0.74571
Vowel,0.93700,0.91804
Wdbc,0.23723,0.22021
Wine,0.39322,0.42712
