Dataset,Model,Accuracy,PCD,F1 Score
Car,Random Forest,0.9797687861271677,0.0,0.9279832486354226
Car,Proactive Forest,0.9595375722543352,0.14450867052023122,0.8571713534752115
Iris,Random Forest,0.9,0.0,0.899749373433584
Iris,Proactive Forest,0.9666666666666667,0.16666666666666666,0.9665831244778613
Letter,Random Forest,0.96375,0.0,0.9636062535363658
Letter,Proactive Forest,0.9455,0.37725,0.9450823844676461
Nursery,Random Forest,0.9830246913580247,0.0,0.7722054943800848
Nursery,Proactive Forest,0.9930555555555556,0.10223765432098765,0.7901318605153913
Optdigits,Random Forest,0.9795373665480427,0.0,0.9793777829186645
Optdigits,Proactive Forest,0.9661921708185054,0.34252669039145905,0.9660630994015402
Sonar,Random Forest,0.8571428571428571,0.0,0.851764705882353
Sonar,Proactive Forest,0.8095238095238095,0.7142857142857143,0.8023529411764706
Spambase,Random Forest,0.9554831704668838,0.0,0.9540254095416664
Spambase,Proactive Forest,0.9565689467969598,0.2714440825190011,0.9553363594040967
Vowel,Random Forest,0.9696969696969697,0.0,0.9663060595318662
Vowel,Proactive Forest,0.8838383838383839,0.7727272727272727,0.882216073911684
