strategy,dataset,config,accuracy,f1_macro,n_trees
s2_global_accuracy,Iris,Baseline,0.9,0.899749373433584,15
s2_global_accuracy,Iris,Var A (Thresh=0.0),0.9,0.899749373433584,18
s2_global_accuracy,Iris,Var B (Episode=10),0.9,0.899749373433584,18
s2_global_accuracy,Iris,Var C (Episode=15),0.9,0.899749373433584,18
s2_global_accuracy,Iris,Var D (Patience=4),0.9,0.899749373433584,15
s3_global_f1,Iris,Baseline,0.9,0.899749373433584,15
s3_global_f1,Iris,Var A (Thresh=0.0),0.9,0.899749373433584,18
s3_global_f1,Iris,Var B (Episode=10),0.9,0.899749373433584,18
s3_global_f1,Iris,Var C (Episode=15),0.9,0.899749373433584,18
s3_global_f1,Iris,Var D (Patience=4),0.9,0.899749373433584,15
s4_global_f1_pcd,Iris,Baseline,0.9,0.899749373433584,18
s4_global_f1_pcd,Iris,Var A (Thresh=0.0),0.9,0.899749373433584,18
s4_global_f1_pcd,Iris,Var B (Episode=10),0.9,0.899749373433584,18
s4_global_f1_pcd,Iris,Var C (Episode=15),0.9,0.899749373433584,18
s4_global_f1_pcd,Iris,Var D (Patience=4),0.9,0.899749373433584,18
s5_perclient_accuracy,Iris,Baseline,0.9,0.899749373433584,9
s5_perclient_accuracy,Iris,Var A (Thresh=0.0),0.9,0.899749373433584,18
s5_perclient_accuracy,Iris,Var B (Episode=10),0.9,0.899749373433584,9
s5_perclient_accuracy,Iris,Var C (Episode=15),0.9,0.899749373433584,9
s5_perclient_accuracy,Iris,Var D (Patience=4),0.9,0.899749373433584,9
s6_perclient_f1,Iris,Baseline,0.9,0.899749373433584,9
s6_perclient_f1,Iris,Var A (Thresh=0.0),0.9,0.899749373433584,18
s6_perclient_f1,Iris,Var B (Episode=10),0.9,0.899749373433584,9
s6_perclient_f1,Iris,Var C (Episode=15),0.9,0.899749373433584,9
s6_perclient_f1,Iris,Var D (Patience=4),0.9,0.899749373433584,9
s7_perclient_f1_pcd,Iris,Baseline,0.9111111111111111,0.9109440267335004,12
s7_perclient_f1_pcd,Iris,Var A (Thresh=0.0),0.9,0.899749373433584,18
s7_perclient_f1_pcd,Iris,Var B (Episode=10),0.9111111111111111,0.9109440267335004,12
s7_perclient_f1_pcd,Iris,Var C (Episode=15),0.9111111111111111,0.9109440267335004,12
s7_perclient_f1_pcd,Iris,Var D (Patience=4),0.9111111111111111,0.9109440267335004,12
pw,Iris,Baseline,0.6999999999999998,0.7058225273328248,8
pw,Iris,Var A (Thresh=0.0),0.6999999999999998,0.7058225273328248,8
pw,Iris,Var D (Patience=4),0.6999999999999998,0.7058225273328248,8
s2_global_accuracy,Car,Baseline,0.9238921001926782,0.8085321956446214,40
s2_global_accuracy,Car,Var A (Thresh=0.0),0.9238921001926782,0.8085321956446214,40
s2_global_accuracy,Car,Var B (Episode=10),0.9238921001926782,0.8085321956446214,40
s2_global_accuracy,Car,Var C (Episode=15),0.9248554913294798,0.7958029145477797,45
s2_global_accuracy,Car,Var D (Patience=4),0.9238921001926782,0.8085321956446214,40
s3_global_f1,Car,Baseline,0.9277456647398843,0.8381068752613725,40
s3_global_f1,Car,Var A (Thresh=0.0),0.9277456647398843,0.8381068752613725,40
s3_global_f1,Car,Var B (Episode=10),0.9277456647398843,0.8381068752613725,40
s3_global_f1,Car,Var C (Episode=15),0.9238921001926782,0.8254258252887331,45
s3_global_f1,Car,Var D (Patience=4),0.9277456647398843,0.8381068752613725,40
s4_global_f1_pcd,Car,Baseline,0.9277456647398843,0.8381068752613725,40
s4_global_f1_pcd,Car,Var A (Thresh=0.0),0.9277456647398843,0.8381068752613725,40
s4_global_f1_pcd,Car,Var B (Episode=10),0.9277456647398843,0.8381068752613725,40
s4_global_f1_pcd,Car,Var C (Episode=15),0.9238921001926782,0.8254258252887331,45
s4_global_f1_pcd,Car,Var D (Patience=4),0.9277456647398843,0.8381068752613725,40
s5_perclient_accuracy,Car,Baseline,0.9238921001926782,0.7729669754097318,9
s5_perclient_accuracy,Car,Var A (Thresh=0.0),0.9277456647398844,0.8120300933115314,42
s5_perclient_accuracy,Car,Var B (Episode=10),0.9238921001926782,0.7729669754097318,9
s5_perclient_accuracy,Car,Var C (Episode=15),0.9238921001926782,0.7729669754097318,9
s5_perclient_accuracy,Car,Var D (Patience=4),0.9238921001926782,0.7729669754097318,9
s6_perclient_f1,Car,Baseline,0.9277456647398843,0.838728220427391,36
s6_perclient_f1,Car,Var A (Thresh=0.0),0.9277456647398843,0.8431827920941987,42
s6_perclient_f1,Car,Var B (Episode=10),0.9277456647398843,0.838728220427391,36
s6_perclient_f1,Car,Var C (Episode=15),0.9277456647398843,0.838728220427391,36
s6_perclient_f1,Car,Var D (Patience=4),0.9277456647398843,0.838728220427391,36
s7_perclient_f1_pcd,Car,Baseline,0.926782273603083,0.8294090869377602,33
s7_perclient_f1_pcd,Car,Var A (Thresh=0.0),0.928709055876686,0.8405432293491378,36
s7_perclient_f1_pcd,Car,Var B (Episode=10),0.926782273603083,0.8294090869377602,33
s7_perclient_f1_pcd,Car,Var C (Episode=15),0.926782273603083,0.8294090869377602,33
s7_perclient_f1_pcd,Car,Var D (Patience=4),0.926782273603083,0.8294090869377602,33
pw,Car,Baseline,0.8670520231213873,0.7379565544122507,9
pw,Car,Var A (Thresh=0.0),0.8670520231213873,0.7379565544122507,9
pw,Car,Var D (Patience=4),0.8670520231213873,0.7379565544122507,9
s2_global_accuracy,Sonar,Baseline,0.7857142857142857,0.7826740764955868,25
s2_global_accuracy,Sonar,Var A (Thresh=0.0),0.7857142857142857,0.7799972862758905,40
s2_global_accuracy,Sonar,Var B (Episode=10),0.7857142857142857,0.7799972862758905,40
s2_global_accuracy,Sonar,Var C (Episode=15),0.7936507936507936,0.7898673411063899,45
s2_global_accuracy,Sonar,Var D (Patience=4),0.7857142857142857,0.7826740764955868,25
s3_global_f1,Sonar,Baseline,0.7857142857142857,0.7826740764955868,25
s3_global_f1,Sonar,Var A (Thresh=0.0),0.7777777777777777,0.7716150786629511,40
s3_global_f1,Sonar,Var B (Episode=10),0.7777777777777777,0.7716150786629511,40
s3_global_f1,Sonar,Var C (Episode=15),0.7777777777777777,0.7733967528710958,45
s3_global_f1,Sonar,Var D (Patience=4),0.7857142857142857,0.7826740764955868,25
s4_global_f1_pcd,Sonar,Baseline,0.7619047619047619,0.7508306196092237,35
s4_global_f1_pcd,Sonar,Var A (Thresh=0.0),0.753968253968254,0.7486299648064354,40
s4_global_f1_pcd,Sonar,Var B (Episode=10),0.7619047619047619,0.7572955452805266,40
s4_global_f1_pcd,Sonar,Var C (Episode=15),0.7777777777777777,0.7733967528710958,45
s4_global_f1_pcd,Sonar,Var D (Patience=4),0.7619047619047619,0.7508306196092237,35
s5_perclient_accuracy,Sonar,Baseline,0.7380952380952381,0.7353248862085708,9
s5_perclient_accuracy,Sonar,Var A (Thresh=0.0),0.7777777777777777,0.7765300245130925,42
s5_perclient_accuracy,Sonar,Var B (Episode=10),0.7380952380952381,0.7353248862085708,9
s5_perclient_accuracy,Sonar,Var C (Episode=15),0.7380952380952381,0.7353248862085708,9
s5_perclient_accuracy,Sonar,Var D (Patience=4),0.7380952380952381,0.7353248862085708,9
s6_perclient_f1,Sonar,Baseline,0.7380952380952381,0.7353248862085708,9
s6_perclient_f1,Sonar,Var A (Thresh=0.0),0.7698412698412698,0.7685051846840866,42
s6_perclient_f1,Sonar,Var B (Episode=10),0.7380952380952381,0.7353248862085708,9
s6_perclient_f1,Sonar,Var C (Episode=15),0.7380952380952381,0.7353248862085708,9
s6_perclient_f1,Sonar,Var D (Patience=4),0.7380952380952381,0.7353248862085708,9
s7_perclient_f1_pcd,Sonar,Baseline,0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,Var A (Thresh=0.0),0.7698412698412698,0.7648336685101391,42
s7_perclient_f1_pcd,Sonar,Var B (Episode=10),0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,Var C (Episode=15),0.753968253968254,0.7467647058823529,18
s7_perclient_f1_pcd,Sonar,Var D (Patience=4),0.753968253968254,0.7467647058823529,18
pw,Sonar,Baseline,0.6904761904761904,0.6888888888888888,9
pw,Sonar,Var A (Thresh=0.0),0.6904761904761904,0.6888888888888888,9
pw,Sonar,Var D (Patience=4),0.6904761904761904,0.6888888888888888,9
s2_global_accuracy,Vowel,Baseline,0.6430976430976431,0.6429778694259926,35
s2_global_accuracy,Vowel,Var A (Thresh=0.0),0.6430976430976431,0.6426357090119229,40
s2_global_accuracy,Vowel,Var B (Episode=10),0.6430976430976431,0.6426357090119229,40
s2_global_accuracy,Vowel,Var C (Episode=15),0.6515151515151515,0.6502650654179803,45
s2_global_accuracy,Vowel,Var D (Patience=4),0.6430976430976431,0.6429778694259926,35
s3_global_f1,Vowel,Baseline,0.6313131313131313,0.6314508692761052,30
s3_global_f1,Vowel,Var A (Thresh=0.0),0.6313131313131313,0.6314508692761052,30
s3_global_f1,Vowel,Var B (Episode=10),0.6481481481481481,0.6485819511732022,40
s3_global_f1,Vowel,Var C (Episode=15),0.6582491582491583,0.6598704446635092,45
s3_global_f1,Vowel,Var D (Patience=4),0.6313131313131313,0.6314508692761052,30
s4_global_f1_pcd,Vowel,Baseline,0.6363636363636364,0.63455812757172,30
s4_global_f1_pcd,Vowel,Var A (Thresh=0.0),0.6481481481481481,0.6485819511732022,40
