strategy,dataset,min_episodes,episode_size,accuracy,f1_macro,n_trees
s4_global_f1_pcd,Car,4,5,0.9277456647398843,0.8381068752613725,40
s4_global_f1_pcd,Car,4,10,0.9277456647398843,0.8381068752613725,40
s4_global_f1_pcd,Car,4,15,0.9238921001926782,0.8254258252887331,45
s4_global_f1_pcd,Car,5,5,0.9277456647398843,0.8381068752613725,40
s4_global_f1_pcd,Car,5,10,0.9277456647398843,0.8381068752613725,40
s4_global_f1_pcd,Car,5,15,0.9238921001926782,0.8254258252887331,45
s6_perclient_f1,Car,4,5,0.9277456647398843,0.838728220427391,36
s6_perclient_f1,Car,4,10,0.9277456647398843,0.838728220427391,36
s6_perclient_f1,Car,4,15,0.9277456647398843,0.838728220427391,36
s6_perclient_f1,Car,5,5,0.9277456647398843,0.838728220427391,36
s6_perclient_f1,Car,5,10,0.9277456647398843,0.838728220427391,36
s6_perclient_f1,Car,5,15,0.9277456647398843,0.838728220427391,36
pw,Car,4,5,0.8670520231213873,0.7379565544122507,9
pw,Car,4,10,0.8988439306358381,0.7699279780841287,9
pw,Car,4,15,0.9075144508670521,0.8190318982981456,9
pw,Car,5,5,0.8670520231213873,0.7379565544122507,9
pw,Car,5,10,0.8988439306358381,0.7699279780841287,9
pw,Car,5,15,0.9075144508670521,0.8190318982981456,9
s4_global_f1_pcd,Sonar,4,5,0.7619047619047619,0.7508306196092237,35
s4_global_f1_pcd,Sonar,4,10,0.7619047619047619,0.7572955452805266,40
s4_global_f1_pcd,Sonar,4,15,0.7777777777777777,0.7733967528710958,45
s4_global_f1_pcd,Sonar,5,5,0.7619047619047619,0.7508306196092237,35
s4_global_f1_pcd,Sonar,5,10,0.7619047619047619,0.7572955452805266,40
s4_global_f1_pcd,Sonar,5,15,0.7777777777777777,0.7733967528710958,45
s6_perclient_f1,Sonar,4,5,0.7380952380952381,0.7353248862085708,9
s6_perclient_f1,Sonar,4,10,0.7380952380952381,0.7353248862085708,9
s6_perclient_f1,Sonar,4,15,0.7380952380952381,0.7353248862085708,9
s6_perclient_f1,Sonar,5,5,0.7380952380952381,0.7353248862085708,9
s6_perclient_f1,Sonar,5,10,0.7380952380952381,0.7353248862085708,9
s6_perclient_f1,Sonar,5,15,0.7380952380952381,0.7353248862085708,9
pw,Sonar,4,5,0.6904761904761904,0.6888888888888888,9
pw,Sonar,4,10,0.6666666666666666,0.6636155606407322,9
pw,Sonar,4,15,0.6666666666666666,0.6636155606407322,9
pw,Sonar,5,5,0.6904761904761904,0.6888888888888888,9
pw,Sonar,5,10,0.6666666666666666,0.6636155606407322,9
pw,Sonar,5,15,0.6666666666666666,0.6636155606407322,9
s4_global_f1_pcd,Vowel,4,5,0.6363636363636364,0.63455812757172,30
s4_global_f1_pcd,Vowel,4,10,0.6481481481481481,0.6485819511732022,40
s4_global_f1_pcd,Vowel,4,15,0.6582491582491583,0.6598704446635092,45
s4_global_f1_pcd,Vowel,5,5,0.6363636363636364,0.63455812757172,30
s4_global_f1_pcd,Vowel,5,10,0.6481481481481481,0.6485819511732022,40
s4_global_f1_pcd,Vowel,5,15,0.6582491582491583,0.6598704446635092,45
s6_perclient_f1,Vowel,4,5,0.5875420875420875,0.5830002127499813,9
s6_perclient_f1,Vowel,4,10,0.5875420875420875,0.5830002127499813,9
s6_perclient_f1,Vowel,4,15,0.5875420875420875,0.5830002127499813,9
s6_perclient_f1,Vowel,5,5,0.5875420875420875,0.5830002127499813,9
s6_perclient_f1,Vowel,5,10,0.5875420875420875,0.5830002127499813,9
s6_perclient_f1,Vowel,5,15,0.5875420875420875,0.5830002127499813,9
pw,Vowel,4,5,0.6212121212121212,0.6177572091248354,9
pw,Vowel,4,10,0.6464646464646465,0.6420067533811712,9
pw,Vowel,4,15,0.702020202020202,0.7029117644342852,9
pw,Vowel,5,5,0.6212121212121212,0.6177572091248354,9
pw,Vowel,5,10,0.6464646464646465,0.6420067533811712,9
pw,Vowel,5,15,0.702020202020202,0.7029117644342852,9
s4_global_f1_pcd,Spambase,4,5,0.9156713716974303,0.911142044182777,40
s4_global_f1_pcd,Spambase,4,10,0.9040897575099529,0.8987630615235581,30
s4_global_f1_pcd,Spambase,4,15,0.9211002533478103,0.9169299936203986,45
s4_global_f1_pcd,Spambase,5,5,0.9156713716974303,0.911142044182777,40
s4_global_f1_pcd,Spambase,5,10,0.9040897575099529,0.8987630615235581,30
s4_global_f1_pcd,Spambase,5,15,0.9211002533478103,0.9169299936203986,45
s6_perclient_f1,Spambase,4,5,0.913861744480637,0.909369513399647,9
s6_perclient_f1,Spambase,4,10,0.913861744480637,0.909369513399647,9
s6_perclient_f1,Spambase,4,15,0.913861744480637,0.909369513399647,9
s6_perclient_f1,Spambase,5,5,0.913861744480637,0.909369513399647,9
s6_perclient_f1,Spambase,5,10,0.913861744480637,0.909369513399647,9
s6_perclient_f1,Spambase,5,15,0.913861744480637,0.909369513399647,9
pw,Spambase,4,5,0.9185667752442996,0.9144515299645669,9
pw,Spambase,4,10,0.9218241042345277,0.9179144385026738,9
pw,Spambase,4,15,0.9207383279044516,0.9168156527570366,9
pw,Spambase,5,5,0.9185667752442996,0.9144515299645669,9
pw,Spambase,5,10,0.9218241042345277,0.9179144385026738,9
pw,Spambase,5,15,0.9207383279044516,0.9168156527570366,9
