old_strategy,old_dataset,old_patience,old_size_scale,old_threshold,old_accuracy,old_f1_macro,old_n_trees,new_strategy,new_dataset,new_patience,new_size_scale,new_threshold,new_accuracy,new_f1_macro,new_n_trees,strategy,dataset,delta_f1_macro,delta_accuracy,delta_n_trees
pw,Car,3,15,0.001,0.9248554913294798,0.8417635955514745,45,pw,Car,3,15,0.001,0.9248554913294798,0.8417635955514745,45,pw,Car,0.0,0.0,0.0
pw,Sonar,3,5,0.001,0.7857142857142857,0.7795918367346939,9,pw,Sonar,3,5,0.001,0.7857142857142857,0.7795918367346939,9,pw,Sonar,0.0,0.0,0.0
pw,Spambase,3,5,0.001,0.9207383279044516,0.9167328224988452,9,pw,Spambase,3,5,0.001,0.9207383279044516,0.9167328224988452,9,pw,Spambase,0.0,0.0,0.0
pw,Vowel,3,15,0.001,0.7777777777777778,0.7791357322416892,45,pw,Vowel,3,15,0.001,0.7777777777777778,0.7791357322416892,45,pw,Vowel,0.0,0.0,0.0
s4_global_f1_pcd,Car,3,10,0.001,0.926782273603083,0.847820112923503,40,s4_global_f1_pcd,Car,3,10,0.001,0.926782273603083,0.847820112923503,40,s4_global_f1_pcd,Car,0.0,0.0,0.0
s4_global_f1_pcd,Sonar,3,15,0.001,0.7777777777777777,0.7733967528710958,45,s4_global_f1_pcd,Sonar,3,15,0.001,0.7777777777777777,0.7733967528710958,45,s4_global_f1_pcd,Sonar,0.0,0.0,0.0
s4_global_f1_pcd,Spambase,3,5,0.001,0.9232718060079624,0.9189314653431042,40,s4_global_f1_pcd,Spambase,3,5,0.001,0.9232718060079624,0.9189314653431042,40,s4_global_f1_pcd,Spambase,0.0,0.0,0.0
s4_global_f1_pcd,Vowel,3,5,0.001,0.6784511784511785,0.6774996431085533,40,s4_global_f1_pcd,Vowel,3,5,0.001,0.6784511784511785,0.6774996431085533,40,s4_global_f1_pcd,Vowel,0.0,0.0,0.0
s7_perclient_f1_pcd,Car,3,5,0.001,0.9229287090558764,0.844763918787399,27,s7_perclient_f1_pcd,Car,3,5,0.001,0.9229287090558764,0.844763918787399,27,s7_perclient_f1_pcd,Car,0.0,0.0,0.0
s7_perclient_f1_pcd,Sonar,3,15,0.001,0.7857142857142857,0.7822803062924644,45,s7_perclient_f1_pcd,Sonar,3,15,0.001,0.7857142857142857,0.7822803062924644,45,s7_perclient_f1_pcd,Sonar,0.0,0.0,0.0
s7_perclient_f1_pcd,Spambase,3,5,0.001,0.9243575823380384,0.9204027768019172,33,s7_perclient_f1_pcd,Spambase,3,5,0.001,0.9243575823380384,0.9204027768019172,33,s7_perclient_f1_pcd,Spambase,0.0,0.0,0.0
s7_perclient_f1_pcd,Vowel,3,10,0.001,0.6784511784511785,0.6770504299373021,45,s7_perclient_f1_pcd,Vowel,3,10,0.001,0.6784511784511785,0.6770504299373021,45,s7_perclient_f1_pcd,Vowel,0.0,0.0,0.0
