strategy,dataset,patience,size_scale,threshold,accuracy,f1_macro,n_trees
s4_global_f1_pcd,Car,3,5,0.001,0.9258188824662813,0.8367121055976202,40
s4_global_f1_pcd,Car,3,5,0.002,0.9258188824662813,0.8367121055976202,40
s4_global_f1_pcd,Car,3,5,0.005,0.9258188824662813,0.8367121055976202,40
s4_global_f1_pcd,Car,3,10,0.001,0.926782273603083,0.847820112923503,40
s4_global_f1_pcd,Car,3,10,0.002,0.926782273603083,0.847820112923503,40
s4_global_f1_pcd,Car,3,10,0.005,0.926782273603083,0.847820112923503,40
s4_global_f1_pcd,Car,3,15,0.001,0.9238921001926782,0.8254258252887331,45
s4_global_f1_pcd,Car,3,15,0.002,0.9238921001926782,0.8254258252887331,45
s4_global_f1_pcd,Car,3,15,0.005,0.9238921001926782,0.8254258252887331,45
s4_global_f1_pcd,Car,4,5,0.001,0.9258188824662813,0.8367121055976202,40
s4_global_f1_pcd,Car,4,5,0.002,0.9258188824662813,0.8367121055976202,40
s4_global_f1_pcd,Car,4,5,0.005,0.9258188824662813,0.8367121055976202,40
s4_global_f1_pcd,Car,4,10,0.001,0.926782273603083,0.847820112923503,40
s4_global_f1_pcd,Car,4,10,0.002,0.926782273603083,0.847820112923503,40
s4_global_f1_pcd,Car,4,10,0.005,0.926782273603083,0.847820112923503,40
s4_global_f1_pcd,Car,4,15,0.001,0.9238921001926782,0.8254258252887331,45
s4_global_f1_pcd,Car,4,15,0.002,0.9238921001926782,0.8254258252887331,45
s4_global_f1_pcd,Car,4,15,0.005,0.9238921001926782,0.8254258252887331,45
s4_global_f1_pcd,Car,5,5,0.001,0.9258188824662813,0.8367121055976202,40
s4_global_f1_pcd,Car,5,5,0.002,0.9258188824662813,0.8367121055976202,40
s4_global_f1_pcd,Car,5,5,0.005,0.9258188824662813,0.8367121055976202,40
s4_global_f1_pcd,Car,5,10,0.001,0.926782273603083,0.847820112923503,40
s4_global_f1_pcd,Car,5,10,0.002,0.926782273603083,0.847820112923503,40
s4_global_f1_pcd,Car,5,10,0.005,0.926782273603083,0.847820112923503,40
s4_global_f1_pcd,Car,5,15,0.001,0.9238921001926782,0.8254258252887331,45
s4_global_f1_pcd,Car,5,15,0.002,0.9238921001926782,0.8254258252887331,45
s4_global_f1_pcd,Car,5,15,0.005,0.9238921001926782,0.8254258252887331,45
s7_perclient_f1_pcd,Car,3,5,0.001,0.9229287090558765,0.844763918787399,27
s7_perclient_f1_pcd,Car,3,5,0.002,0.9229287090558765,0.844763918787399,27
s7_perclient_f1_pcd,Car,3,5,0.005,0.9229287090558765,0.844763918787399,27
s7_perclient_f1_pcd,Car,3,10,0.001,0.928709055876686,0.8342450693798739,45
s7_perclient_f1_pcd,Car,3,10,0.002,0.928709055876686,0.8342450693798739,45
s7_perclient_f1_pcd,Car,3,10,0.005,0.928709055876686,0.8342450693798739,45
s7_perclient_f1_pcd,Car,3,15,0.001,0.9238921001926782,0.8254258252887331,45
s7_perclient_f1_pcd,Car,3,15,0.002,0.9238921001926782,0.8254258252887331,45
s7_perclient_f1_pcd,Car,3,15,0.005,0.9238921001926782,0.8254258252887331,45
s7_perclient_f1_pcd,Car,4,5,0.001,0.9229287090558765,0.844763918787399,27
s7_perclient_f1_pcd,Car,4,5,0.002,0.9229287090558765,0.844763918787399,27
s7_perclient_f1_pcd,Car,4,5,0.005,0.9229287090558765,0.844763918787399,27
s7_perclient_f1_pcd,Car,4,10,0.001,0.928709055876686,0.8342450693798739,45
s7_perclient_f1_pcd,Car,4,10,0.002,0.928709055876686,0.8342450693798739,45
s7_perclient_f1_pcd,Car,4,10,0.005,0.928709055876686,0.8342450693798739,45
s7_perclient_f1_pcd,Car,4,15,0.001,0.9238921001926782,0.8254258252887331,45
s7_perclient_f1_pcd,Car,4,15,0.002,0.9238921001926782,0.8254258252887331,45
s7_perclient_f1_pcd,Car,4,15,0.005,0.9238921001926782,0.8254258252887331,45
s7_perclient_f1_pcd,Car,5,5,0.001,0.9229287090558765,0.844763918787399,27
s7_perclient_f1_pcd,Car,5,5,0.002,0.9229287090558765,0.844763918787399,27
