fold,strategy,dataset,f1,acc,timestamp
0,local_proactive,Optdigits,0.9133218196429006,0.9134045077105576,2026-05-12T21:45:00.347150
0,s9_federated_consensus,Optdigits,0.946777097049952,0.9466192170818505,2026-05-12T21:47:16.636734
1,local_proactive,Optdigits,0.9066669386767175,0.9068801897983393,2026-05-12T21:49:02.017039
1,s9_federated_consensus,Optdigits,0.939399020479598,0.9395017793594306,2026-05-12T21:51:06.674247
2,local_proactive,Optdigits,0.917856622433317,0.9181494661921707,2026-05-12T21:53:12.451084
2,s9_federated_consensus,Optdigits,0.9322239277061595,0.9323843416370107,2026-05-12T21:55:18.035025
3,local_proactive,Optdigits,0.9059475329584591,0.9062870699881377,2026-05-12T21:57:25.114884
3,s9_federated_consensus,Optdigits,0.9463575794297236,0.9466192170818505,2026-05-12T22:18:44.310609
4,local_proactive,Optdigits,0.8947310143861259,0.895017793594306,2026-05-12T22:24:04.008886
4,s9_federated_consensus,Optdigits,0.9145635124584715,0.9145907473309609,2026-05-12T22:29:21.944808
5,local_proactive,Optdigits,0.9150672459718824,0.9151838671411626,2026-05-12T22:34:42.993754
