dataset,strategy,acc_mean,acc_std,f1_mean,f1_std,pcd_mean,timestamp
Nursery,local_isolation,0.8900,0.0000,0.7425,0.0000,0.0000,2026-05-26T23:44:59.944874
Nursery,s1_simple_pool,0.8897,0.0000,0.7048,0.0000,0.8480,2026-05-26T23:44:59.944874
Nursery,s2_global_accuracy,0.9020,0.0000,0.7606,0.0000,0.8773,2026-05-26T23:44:59.945338
Nursery,s3_global_f1,0.9063,0.0000,0.7970,0.0000,0.8783,2026-05-26T23:44:59.945338
Nursery,s4_global_f1_pcd,0.8983,0.0000,0.7960,0.0000,0.8903,2026-05-26T23:44:59.945338
Nursery,s5_perclient_accuracy,0.9060,0.0000,0.7748,0.0000,0.8737,2026-05-26T23:44:59.945338
Nursery,s6_perclient_f1,0.9060,0.0000,0.7516,0.0000,0.8793,2026-05-26T23:44:59.945338
Nursery,s7_perclient_f1_pcd,0.9097,0.0000,0.7893,0.0000,0.8813,2026-05-26T23:44:59.945338
Nursery,s8_weighted_average,0.8813,0.0000,0.7261,0.0000,0.5150,2026-05-26T23:44:59.945338
Nursery,s8_simple_mean,0.8813,0.0000,0.7261,0.0000,0.5150,2026-05-26T23:44:59.945760
Nursery,s8_median,0.8787,0.0000,0.7122,0.0000,0.6327,2026-05-26T23:44:59.945760
Nursery,s8_consensus,0.8813,0.0000,0.7261,0.0000,0.5150,2026-05-26T23:44:59.945760
Nursery,s8_proactive_pcd,0.8813,0.0000,0.7261,0.0000,0.5150,2026-05-26T23:44:59.945760
