strategy,dataset,f1_mean,f1_std,acc_mean,acc_std,pcd_mean,timestamp
s1_simple_pool,Iris,0.9457070707070706,0.041256526466619516,0.9466666666666667,0.039999999999999994,0.12666666666666665,2026-05-11T11:20:49.497761
s2_global_accuracy,Iris,0.9235257335257335,0.06893623464275547,0.9266666666666667,0.06289320754704401,0.08666666666666667,2026-05-11T11:22:21.599650
s3_global_f1,Iris,0.9323737373737373,0.04306146221715452,0.9333333333333333,0.04216370213557838,0.04666666666666667,2026-05-11T11:24:51.528159
s4_global_f1_pcd,Iris,0.8907744107744108,0.11270313391794252,0.8933333333333333,0.10832051206181281,0.1,2026-05-11T11:27:12.862879
s5_perclient_accuracy,Iris,0.9385521885521884,0.04847198669659251,0.9400000000000001,0.04666666666666665,0.09333333333333334,2026-05-11T11:29:26.088184
s6_perclient_f1,Iris,0.9452861952861952,0.05175227659575557,0.9466666666666667,0.04988876515698587,0.13999999999999999,2026-05-11T11:31:38.276421
s7_perclient_f1_pcd,Iris,0.945,0.06737814790282391,0.9466666666666667,0.06531972647421808,0.12000000000000002,2026-05-11T11:33:39.733437
pw,Iris,0.939107744107744,0.04760531094837234,0.9400000000000001,0.04666666666666665,0.24666666666666667,2026-05-11T11:35:35.465307
s9_weighted_average,Iris,0.952996632996633,0.04284627875098336,0.9533333333333334,0.04268749491621898,0.0,2026-05-11T11:39:41.081931
s9_simple_mean,Iris,0.9462626262626262,0.04013580998567829,0.9466666666666667,0.039999999999999994,0.0,2026-05-11T11:44:12.159560
s9_median,Iris,0.9393939393939392,0.05593686102975137,0.9400000000000001,0.05537749241945382,0.0,2026-05-11T11:48:22.248368
s9_consensus,Iris,0.9663299663299663,0.033670033670033676,0.9666666666666668,0.033333333333333326,0.0,2026-05-11T11:52:44.968116
s9_proactive_pcd,Iris,0.939107744107744,0.04760531094837234,0.9400000000000001,0.04666666666666665,0.0,2026-05-11T11:56:24.493352
