strategy,dataset,avg_f1,avg_accuracy,avg_pcd,n_clients,timestamp
S1,iris,0.9717,0.9737,0.1667,3,2026-05-09 01:49:09
S1,car,0.9279,0.9680,0.4356,3,2026-05-09 01:49:26
S1,nursery,0.8412,0.9858,0.2217,3,2026-05-09 01:50:58
S1,vowel,0.8789,0.8800,0.8733,3,2026-05-09 01:51:32
S1,letter,0.9615,0.9617,0.5016,3,2026-05-09 11:35:49
S1,optdigits,0.9786,0.9787,0.5801,3,2026-05-09 11:38:12
S1,sonar,0.8014,0.8077,0.8182,3,2026-05-09 11:38:38
S1,spambase,0.9489,0.9516,0.3577,3,2026-05-09 11:40:46
S2,iris,0.9749,0.9737,0.3333,3,2026-05-09 11:40:59
S2,car,0.9381,0.9664,0.4545,3,2026-05-09 11:41:17
S2,nursery,0.8268,0.9807,0.2359,3,2026-05-09 11:42:38
S2,vowel,0.8627,0.8640,0.8600,3,2026-05-09 11:43:16
S2,letter,0.9586,0.9586,0.5253,3,2026-05-09 11:46:59
S2,optdigits,0.9780,0.9780,0.5497,3,2026-05-09 11:50:41
S2,sonar,0.8342,0.8397,0.9091,3,2026-05-09 11:55:44
S2,spambase,0.9421,0.9451,0.3405,3,2026-05-09 12:01:50
S3,iris,0.9639,0.9649,0.2083,3,2026-05-09 12:02:33
S3,car,0.9251,0.9649,0.4697,3,2026-05-09 12:03:39
S3,nursery,0.8358,0.9776,0.2283,3,2026-05-09 12:04:44
S3,vowel,0.7829,0.7880,0.8867,3,2026-05-09 12:05:11
S3,letter,0.9549,0.9551,0.5210,3,2026-05-09 12:09:50
S3,optdigits,0.9773,0.9775,0.5684,3,2026-05-09 12:11:19
S3,sonar,0.8192,0.8205,0.8485,3,2026-05-09 12:11:31
S3,spambase,0.9505,0.9531,0.3534,3,2026-05-09 12:12:46
S4,iris,0.9673,0.9649,0.3750,3,2026-05-09 12:12:55
S4,car,0.9549,0.9703,0.4583,3,2026-05-09 12:13:09
S4,nursery,0.8319,0.9776,0.2248,3,2026-05-09 13:37:02
S4,vowel,0.8202,0.8253,0.8467,3,2026-05-09 13:37:37
S4,letter,0.9530,0.9533,0.5250,3,2026-05-09 13:43:36
S4,optdigits,0.9704,0.9705,0.5743,3,2026-05-09 13:52:34
S4,sonar,0.8502,0.8526,0.9091,3,2026-05-09 15:17:52
S4,spambase,0.9509,0.9534,0.3405,3,2026-05-09 15:20:08
S5,iris,0.9576,0.9561,0.1667,3,2026-05-09 15:20:21
S5,car,0.9351,0.9641,0.4356,3,2026-05-09 15:20:44
S5,nursery,0.8442,0.9841,0.2268,3,2026-05-09 15:32:57
S5,vowel,0.8316,0.8307,0.9133,3,2026-05-09 15:37:36
S5,letter,0.9601,0.9603,0.5158,3,2026-05-09 15:42:49
S5,optdigits,0.9744,0.9745,0.5743,3,2026-05-09 15:48:27
S5,sonar,0.7996,0.8077,0.8182,3,2026-05-09 15:48:55
S5,spambase,0.9445,0.9474,0.3405,3,2026-05-09 15:51:08
S6,iris,0.9732,0.9737,0.2083,3,2026-05-09 15:51:41
S6,car,0.9108,0.9512,0.4583,3,2026-05-09 15:52:24
S6,nursery,0.8464,0.9857,0.2248,3,2026-05-09 15:53:45
S6,vowel,0.8824,0.8827,0.9000,3,2026-05-09 15:54:45
S6,letter,0.9619,0.9621,0.5184,3,2026-05-09 16:00:46
S6,optdigits,0.9733,0.9733,0.5579,3,2026-05-09 20:39:49
S6,sonar,0.8709,0.8782,0.9091,3,2026-05-09 20:40:12
S6,spambase,0.9466,0.9494,0.3462,3,2026-05-09 20:43:02
S7,iris,0.9212,0.9211,0.2500,3,2026-05-09 20:43:11
S7,car,0.9202,0.9634,0.4545,3,2026-05-09 20:43:27
S7,nursery,0.8357,0.9753,0.2303,3,2026-05-09 20:44:32
S7,vowel,0.7448,0.7493,0.8867,3,2026-05-09 20:44:58
S7,letter,0.9446,0.9447,0.5141,3,2026-05-09 20:50:09
S7,optdigits,0.9728,0.9728,0.5661,3,2026-05-09 20:51:48
S7,sonar,0.8220,0.8269,0.9091,3,2026-05-09 20:52:05
S7,spambase,0.9506,0.9531,0.3391,3,2026-05-09 20:54:20
PW,iris,0.9829,0.9825,0.2083,3,2026-05-09 20:54:31
